ComplexID	Name	GeneList
1	BCL6-HDAC4 complex	604, 9759
2	BCL6-HDAC5 complex	604, 10014
3	BCL6-HDAC7 complex	604, 51564
4	Multisubunit ACTR coactivator complex	2033, 1387, 8850, 8202
10	Condensin I complex	10592, 23397, 9918, 64151, 10051
11	BLOC-3 (biogenesis of lysosome-related organelles complex 3)	3257, 89781
12	BLOC-2 (biogenesis of lysosome-related organelles complex 2)	79803, 84343, 11234
13	CDS1 -MUS81 complex	1040, 80198
15	NCOR complex	8841, 6907, 9611, 2874, 7464, 79718
23	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	23557, 2647, 388552, 282991, 63915, 84062, 55330, 26258
27	Arp2/3 protein complex	10095, 10109, 10094, 10092, 10093, 10096, 10097
29	PA28gamma complex	10197
30	PA28 complex	5720, 5721
32	PA700 complex	5717, 5718, 5715, 10213, 5709, 5716, 5702, 5701, 5704, 5714, 5713, 5710, 5700, 5705, 5706, 5708, 9861, 5711, 5707, 5719
36	AP1 adaptor complex	164, 8906, 8905, 1174, 162, 130340, 8907, 10053
45	Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)	5663, 23385, 51107, 55851
49	DNMT3B complex	8467, 24137, 10592, 3065, 25942, 10051, 1789
50	RAB5A-RABEP1-RABGEF complex	5868, 9135, 27342
55	HDAC4-ERK1 complex	5595, 9759
57	HDAC4-ERK2 complex	5594, 9759
58	SMRT complex	8841, 6907, 2874, 79718, 9612
59	AP3 adaptor complex	8546, 8943, 10947, 10239, 8120, 1176, 26985
61	Mi2/NuRD complex	9219, 53615, 5928, 3065, 1108, 5931, 3066
62	MeCP1 complex	9219, 53615, 5928, 3065, 1108, 5931, 3066, 8932
66	TRAP complex	9282, 9862, 7067, 5469, 9968, 9440, 9967, 10025
67	AP4 adaptor complex	9179, 23431, 11154, 10717
68	BCDX2 complex	5890, 5889, 7516, 5892
72	R/M complex (RAD50-MRE11 complex)	4361, 10111
74	HOMER3-IP3R-TRPC1 complex	7220, 3710, 9454
81	Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)	9978, 6500, 9820, 26259
86	NUMAC complex (nucleosomal methylation activator complex)	8289, 6597, 60, 6598, 10498, 6601, 6599, 6605, 6602, 57410
87	Nup 107-160 subcomplex	4928, 6396, 57122, 23279, 348995, 79023, 55746, 81929, 79902
91	FA complex (Fanconi anemia complex), cytoplasmic	2189, 2175, 2176, 2188
92	CD28-transactivation complex	940, 4691
93	Anaphase-promoting complex	996, 8881, 64682, 8697, 51434, 51433, 29945, 29882
95	Ku antigen-NARG1 complex	2547, 7520, 80155
96	Anaphase-promoting complex	996, 8881, 64682, 8697, 51434, 51433, 29945, 29882, 10393
98	p300-MDM2-p53 protein complex	7157, 4193, 2033
100	hNURF complex	6594, 5928, 2186, 5931
103	RNA polymerase II holoenzyme complex	5433, 2963, 2068, 5432, 5434, 2071, 6908, 5430, 2960, 2961, 5431, 2965, 2962, 5438, 5437, 5439, 5440, 5435, 5436, 5441, 2959, 2966, 2967, 2968
104	RNA polymerase II core complex	5433, 5432, 5434, 5430, 5431, 5438, 5437, 5439, 5440, 5435, 5436, 5441
107	TFIIH transcription factor complex	2068, 2071, 2965, 1022, 902, 4331, 2966, 2967, 2968
112	Prefoldin complex	10471, 5201, 7411, 5204, 5203, 5202
114	SNAPc (small nuclear RNA-activating protein) complex	10302, 6618, 6617, 6621, 6619
115	Polycomb repressive complex 1 (PRC1, hPRC-H)	8535, 8467, 3303, 648, 1911, 6015, 84733, 1912, 80012, 22955, 6045, 57332
116	Polycomb repressive complex 1 (PRC1, hPRC-H)	8535, 8467, 3303, 7528, 648, 1911, 6015, 84733, 1912, 80012, 22955, 6045, 57332
117	GPR56-CD81-Galpha(q/11)-Gbeta complex	2767, 2776, 975, 2782, 9289
118	GPI-GnT activity complex	5277, 5283, 5279, 9091
120	Lymphotoxin beta receptor complex	4049, 4055, 4050
123	Rnase/Mrp complex	10248, 10799, 11102, 10775, 10557, 10556, 51367, 10940, 54913, 79897
126	CCT complex (chaperonin containing TCP1 complex)	6950, 908, 22948, 7203, 10694, 10575, 10576, 10574
127	NDC80 kinetochore complex	10403, 147841, 83540, 57405
129	PIDDsome complex	835, 8738, 55367
138	Telomere-associated protein complex	7013, 7014, 65057, 26277, 25913, 54386
140	E-box sequence-binding complex	4005, 4808, 8861, None
142	CD147-gamma-secretase complex	682, 5663, 23385, 51107, 55851
143	APP695-APBB1-LRP1 complex	322, None, 4035
144	Gamma-BAR-AP1 complex	164, 8906, 8905, 1174, 162, 55435, 130340, 8907, 10053
149	PBAF complex (Polybromo- and BAF containing complex)	86, 6597, 60, 6598, 196528, 55193, 6601, 6599, 6605, 6602
152	TFIIE complex	2960, 2961
153	TFIIF complex (transcription factor IIF)	2963, 2962
155	TFIID complex	6874, 6908, 6872, 6878, 6881, 6877, 6882, 6880, 6873
156	Retrotranslocation complex	50628, 84447, 79139
159	Condensin I-PARP-1-XRCC1 complex	10592, 142, 7515, 23397, 9918, 64151, 10051
160	Condensin II	10592, 23310, 29781, 54892, 10051
162	COG complex	91949, 22796, 9382, 83548, 84342, 25839, 10466, 57511
164	Cohesin-SA1 complex	5885, 8243, 10274, 9126
166	Cohesin-SA2 complex	5885, 8243, 10735, 9126
168	Protein-sorting ternary complex (EPS15, HGS, STAM2)	9146, 10254, 2060
169	Protein-sorting ternary complex (EPS15, HGS, STAM1)	9146, 2060, 8027
173	MRN complex	4683, 4361, 10111
178	Respiratory chain complex I (holoenzyme), mitochondrial	4728, 4697, 4706, 4694, 4724, 4711, 4709, 4717, 4695, 4725, 374291, 4720, 4726, 4707, 4722, 4712, 4696, 4710, 4714, 4708, 4701, 4718, 4705, 4716, 4535, 4536, 4537, 4539, 4540, 4541, 4713, 4729, 4719, 4723, 4702, 4731, 4700, 4698, 4704, 126328, 54539, 51079, 55967, 4715
180	PNUTS-PPP1CA complex	5499, 5514
181	26S proteasome	5688, 5702, 5689, 5682, 5683, 5684, 5685, 5686, 5692, 5694, 5693, 5701, 5704, 5691, 5690, 5710, 5687, 5700, 5705, 5706, 5695, 5719
186	Wave-2 complex	23191, 10006, 55845, 10787, 10163
189	BAF complex	8289, 51412, 86, 6595, 6597, 60, 71, 6598, 57492, 6601, 6599, 6605, 6602
190	Mitotic checkpoint complex	9184, 701, 991, 4085
192	PA28-20S proteasome	5688, 5689, 5682, 5683, 5684, 5685, 5686, 5692, 5694, 5693, 5691, 5690, 5687, 5720, 5695, 5721
193	PA700-20S-PA28 complex	5717, 5718, 5715, 10213, 5688, 5709, 5716, 5702, 5689, 5682, 5683, 5684, 5685, 5686, 5692, 5694, 5693, 5701, 5704, 5714, 5691, 5690, 5713, 5710, 5687, 5700, 5705, 5706, 5720, 5708, 9861, 5711, 5695, 5707, 5721, 5719
194	PA28gamma-20S proteasome	5688, 5689, 5682, 5683, 5684, 5685, 5686, 5692, 5694, 5693, 5691, 5690, 5687, 10197, 5695
201	HUIC complex	672, 580
205	Ubiquitin E3 ligase (VHL, TCEB1, TCEB2, CUL2, RBX1)	7428, 9978, 8453, 6921, 6923
207	Ubiquitin E3 ligase (ASB2, TCEB1, TCEB2, CUL5, RNF7)	6921, 6923, 8065, 51676, 9616
208	Ubiquitin E3 ligase (ASB1, TCEB1, TCEB2, CUL5, RNF7)	6921, 6923, 8065, 9616, 51665
209	Ubiquitin E3 ligase (ASB6, TCEB1, TCEB2, CUL5, RNF7)	6921, 6923, 8065, 140459, 9616
210	Ubiquitin E3 ligase (ASB7, TCEB1, TCEB2, CUL5, RNF7)	6921, 6923, 8065, 140460, 9616
211	Ubiquitin E3 ligase (ASB12, TCEB1, TCEB2, CUL5, RNF7)	6921, 6923, 142689, 8065, 9616
213	DNA ligase IV-XRCC1 complex	7515, 3981
214	Ubiquitin E3 ligase (WSB1, TCEB1, TCEB2, CUL5, RBX1)	9978, 6921, 6923, 8065, 26118
218	CRSP complex	9443, 9282, 9862, 9441, 5469, 9442, 9440, 9439
219	CAND1-CUL1-RBX1 complex	9978, 8454, 55832
220	ARF-Mule complex	4869, 10075, 1029
221	CAND1-CUL2-RBX1 complex	9978, 8453, 55832
222	CAND1-CUL3-RBX1 complex	9978, 8452, 55832
223	CAND1-CUL4A-RBX1 complex	9978, 8451, 55832
224	CAND1-CUL4B-RBX1 complex	9978, 8450, 55832
226	Ubiquitin E3 ligase (SKP1A, SKP2, CUL1)	6500, 6502, 8454
227	Ubiquitin E3 ligase (SKP1A, BTRC, CUL1)	6500, 8454, 8945
228	SMCC complex	9282, 9862, 10001, 892, 1024, 9412, 5469, 51003
229	NAT complex	9282, 10001, 892, 1024, 9412, 84246, 9439
230	Mediator complex	219541, 9443, 9282, 9862, 10001, 9441, 892, 1024, 9412, 6837, 5469, 9442, 23389, 81857, 9968, 112950, 90390, 51586, 84246, 54797, 23097, 80306, 9477, 29079, 9440, 55090, 55588, 400569, 9969, 9439, 10025, 51003
232	ARC complex	9443, 9282, 9862, 10001, 9441, 5469, 81857, 9968, 112950, 51586, 29079, 9440, 9969, 27034, 9439
234	HuCHRAC complex	8467, 54107, 54108, 11177
236	WICH complex	8467, 9031
238	SWI-SNF chromatin remodeling-related-BRCA1 complex	8289, 86, 672, 6595, 6597, 6598, 6601, 6599, 6603, 6605
240	BRCA1-CTIP-ZBRK1 repressor complex	672, 5932, 59348
242	BRCA1-BACH1 complex	672, 83990
243	RalBP1-CDC2-CCNB1 complex	983, 891, 10928
244	BRAFT complex	2189, 2175, 6118, 6117, 6119, 4292, 641, 2176, 7156, 80010, 2178, 2188, 55120
245	FA core complex (Fanconi anemia core complex)	2189, 2175, 2176, 80233, 2187, 80010, 2178, 2188, 55120
246	BLM complex III	4292, 641, 7156, 80010
247	RalBP1-CCNB1-AP2A-NUMB-EPN1 complex	160, 891, 8650, 10928, 29924
248	BRAFT complex	2189, 2175, 6118, 6117, 6119, 641, 2176, 7156, 2178, 2188, 55120
254	TBPIP/HOP2-MND1 complex	84057, 29893
256	RAD51B-RAD51C complex	5890, 5889
261	RAD51B-RAD51C-RAD51D-XRCC2-XRCC3 complex	5890, 5889, 7517, 7516, 5892
262	RAD51L3-XRCC2 complex	7516, 5892
265	ATR-ATRIP complex	545, 84126
266	RAD17-RFC complex	5884, 5984, 5982, 5985, 5983
271	9-1-1 complex	5810, 3364, 5883
274	9-1-1-RAD17-RFC complex	5810, 3364, 5884, 5984, 5982, 5985, 5983, 5883
278	RFC core complex	5984, 5982, 5985
279	RFC complex	5984, 5982, 5981, 5985, 5983
280	HMGB1-HMGB2-HSC70-ERP60-GAPDH complex	2597, 3146, 3312, 3148, 2923
282	SNF2h-cohesin-NuRD complex	5885, 8467, 9219, 53615, 5928, 1107, 9112, 3065, 8243, 5931, 10735, 10274, 3066, 11177, 8932, 9126
283	SIN3 complex	10284, 8819, 5928, 3065, 5931, 3066, 25942
284	CRSP complex	9443, 9282, 9862, 10001, 9441, 9412, 5469, 81857, 51586, 9440, 9439
285	PCNA-MLH1-PMS1 complex	5111, 4292, 5378
286	PCNA-MSH2-MSH6 complex	5111, 4436, 2956
287	ARC-L complex	9443, 9282, 9862, 10001, 892, 1024, 9412, 5469, 81857, 9968, 51586, 9440, 9969, 9439
288	ARC complex	9443, 9282, 9862, 10001, 9441, 892, 1024, 9412, 5469, 81857, 9968, 51586, 9440, 9969, 9439
290	MSH2-MLH1-PMS2-PCNA DNA-repair initiation complex	5111, 4292, 4436, 5395
291	MSH2-MLH1-PMS2 DNA-repair initiation complex	4292, 4436, 5395
297	PCNA-DNA polymerase delta complex	5111, 5424, 5425, 10714, 57804
298	VEGF transcriptional complex	328, 6774, 3091, 4435
299	CBP-IRF3 complex	3661, 1387
300	PC2 complex	9443, 9282, 9862, 10001, 9412, 9442, 84246, 9477, 9440, 9967, 10025, 51003
301	SMCC complex	9443, 9282, 9862, 10001, 892, 1024, 9412, 5469, 9442, 9968, 84246, 9477, 9440, 9969, 9967, 10025, 51003
302	INO80 chromatin remodeling complex	86, 6929, 54891, 4798, 125476, 283899, 10445, 83444, 93973, 79913, 54617, 10856, 8607
304	SRCAP complex	10467, 8089, 86, 3015, 6944, 10847, 55840, 64431, 10856, 8607
305	40S ribosomal subunit, cytoplasmic	6218, 3921, 6187, 6192, 6188, 6206, 6223, 6232, 6203, 6193, 6204, 6224, 6189, 6201, 6202, 6210, 6217, 6208, 6228, 6222, 6235, 6207, 6205, 6191, 6194, 6209, 6229, 6230, 6231, 6234, 2197, 6233, 6227
306	Ribosome, cytoplasmic	6176, 6181, 6175, 6218, 3921, 6187, 6165, 6129, 6139, 6192, 6188, 6206, 6137, 6134, 6136, 6133, 6146, 6124, 6223, 6122, 23521, 6232, 11224, 6157, 6125, 6144, 6158, 6203, 6193, 6204, 6159, 6164, 9045, 6224, 6189, 6154, 6138, 6155, 6168, 6167, 6201, 6202, 6210, 6217, 6208, 6228, 6222, 6235, 6207, 6205, 6130, 6191, 6147, 6194, 9349, 6209, 6229, 6230, 6231, 6234, 2197, 6156, 6170, 6160, 4736, 6161, 6135, 6132, 6171, 6233, 7311, 6169, 6227, 6152, 6173, 6143, 6142, 6128, 6141, 25873
308	60S ribosomal subunit, cytoplasmic	6176, 6181, 6175, 6165, 6129, 6139, 6137, 6134, 6136, 6133, 6146, 6124, 6122, 23521, 11224, 6157, 6125, 6144, 6158, 6159, 6164, 9045, 6154, 6138, 6155, 6168, 6167, 6130, 6147, 9349, 6156, 6170, 6160, 4736, 6161, 6135, 6132, 6171, 7311, 6169, 6152, 6173, 6143, 6142, 6128, 6141, 25873
310	Cell cycle kinase complex CDC2	9133, 983, 5111, 891, 595, 1026
311	Cell cycle kinase complex CDK2	5111, 595, 1017, 1026
312	Cell cycle kinase complex CDK4	1019, 5111, 595, 1026
313	Cell cycle kinase complex CDK5	5111, 595, 896, 1026, 1020
314	PCNA-p21 complex	5111, 1026
315	28S ribosomal subunit, mitochondrial	6183, 63931, 7818, 56945, 64432, 55173, None, 64969, 92259, 64963, 64960, 54460, 65993, 64968, 64965, 23107, 10240, 64951, 64949, 10884, 55168, 51650, 28957, 51373, 51081, 51116, 51021, 51023, 51649, 28973
320	55S ribosome, mitochondrial	6183, 63931, 9553, 11222, 9801, 7818, 6182, 56945, 64432, 55173, None, 64969, 92259, 64963, 64960, 54460, 65993, 64968, 64965, 114294, 10573, 740, 6150, 51258, 51069, 116541, 64928, 219927, 128308, 124995, 122704, 64975, 54534, 84545, 51263, 23107, 10240, 79590, 64978, 64951, 116540, 51642, 64981, 84311, 64983, 55052, 28998, 65005, 51073, 65008, 64949, 51253, 29074, 26589, 65080, 57129, 10884, 64976, 63875, 55168, 29093, 54948, 54148, 51318, 29088, 64979, 51264, 51650, 28957, 51373, 51081, 51116, 65003, 51021, 51023, 51649, 28973, 28977
322	DNA-PK-Ku complex	2547, 7520, 5591
324	39S ribosomal subunit, mitochondrial	9553, 11222, 9801, 6182, 114294, 10573, 740, 6150, 51258, 51069, 116541, 64928, 219927, 128308, 124995, 122704, 64975, 54534, 84545, 51263, 79590, 64978, 116540, 51642, 64981, 84311, 64983, 55052, 28998, 65005, 51073, 65008, 51253, 29074, 26589, 65080, 57129, 64976, 63875, 29093, 54948, 54148, 51318, 29088, 64979, 51264, 65003, 28977
328	Ku antigen complex	2547, 7520
335	p54(nrb)-PSF-matrin3 complex	6421, 9782, 4841
